type;Replicate;time;N;temp;act+;act;sumact;in;propact
CTRL;1;2h;20;5;20;0;20;0;1
CTRL;2;2h;20;5;18;2;20;0;1
CTRL;3;2h;20;5;20;0;20;0;1
CTRL;4;2h;20;5;20;0;20;0;1
CTRL;5;2h;20;5;20;0;20;0;1
37∫C;1;2h;19;37;13;2;15;4;0.789473684
37∫C;2;2h;21;37;10;4;14;7;0.666666667
37∫C;3;2h;20;37;6;2;8;12;0.4
37∫C;4;2h;20;37;6;4;10;10;0.5
37∫C;5;2h;21;37;16;3;19;2;0.904761905
40∫C;1;2h;20;40;0;0;0;20;0
40∫C;2;2h;20;40;0;0;0;20;0
40∫C;3;2h;21;40;0;0;0;21;0
40∫C;4;2h;20;40;0;0;0;20;0
40∫C;5;2h;21;40;0;0;0;21;0
CTRL;1;24h;20;5;19;0;19;1;0.95
CTRL;2;24h;20;5;19;1;20;0;1
CTRL;3;24h;20;5;20;0;20;0;1
CTRL;4;24h;20;5;20;0;20;0;1
CTRL;5;24h;20;5;20;0;20;0;1
37∫C;1;24h;19;37;16;1;17;2;0.894736842
37∫C;2;24h;21;37;5;6;11;10;0.523809524
37∫C;3;24h;20;37;8;0;8;12;0.4
37∫C;4;24h;20;37;1;1;2;9;0.1
37∫C;5;24h;21;37;9;7;16;5;0.761904762
40∫C;1;24h;20;40;0;0;0;20;0
40∫C;2;24h;20;40;0;0;0;20;0
40∫C;3;24h;21;40;0;0;0;21;0
40∫C;4;24h;20;40;0;0;0;20;0
40∫C;5;24h;21;40;0;0;0;21;0
CTRL;1;48h;20;5;18;2;20;0;1
CTRL;2;48h;20;5;18;2;20;0;1
CTRL;3;48h;20;5;18;2;20;0;1
CTRL;4;48h;20;5;19;1;20;0;1
CTRL;5;48h;20;5;20;0;20;0;1
37∫C;1;48h;19;37;12;2;14;5;0.736842105
37∫C;2;48h;21;37;16;0;16;5;0.761904762
37∫C;3;48h;20;37;10;1;11;9;0.55
37∫C;4;48h;20;37;14;2;16;4;0.8
37∫C;5;48h;21;37;14;2;16;5;0.761904762
40∫C;1;48h;20;40;0;0;0;20;0
40∫C;2;48h;20;40;0;0;0;20;0
40∫C;3;48h;21;40;0;0;0;21;0
40∫C;4;48h;20;40;0;0;0;20;0
40∫C;5;48h;21;40;0;0;0;21;0